"","MSOA","residents","annual_income","NIC","ITEMS_SUM","ITEMS_per_capita","prescriptions_per_capita","prescriptions","NIC_per_capita","avg_generic_ratio","min_generic_ratio","max_generic_ratio","practices","residents_per_practice"
"3293","E02006087",6137,34320,24007.68,2704,0.441,0.118,723,3.912,0.528,0.5283540802213,0.5283540802213,1,6137
"3294","E02006089",6392,30160,142713.24,17426,2.726,0.273,1748,22.327,0.614,0.497954412624196,0.72972972972973,2,3196
"3295","E02006090",7021,32240,160974.63,16357,2.33,0.255,1787,22.928,0.478,0.478455512031337,0.478455512031337,1,7021
"3296","E02006091",9775,34840,63479.2400000001,7379,0.755,0.121,1180,6.494,0.525,0.524576271186441,0.524576271186441,1,9775
"3297","E02006093",8445,30160,32371.87,5012,0.593,0.097,816,3.833,0.56,0.560049019607843,0.560049019607843,1,8445
"3298","E02006094",5310,36400,49723.45,6059,1.141,0.252,1337,9.364,0.633,0.615179760319574,0.650170648464164,2,2655
"3299","E02006095",7826,29640,24417.52,3582,0.458,0.096,748,3.12,0.579,0.578877005347594,0.578877005347594,1,7826
"3300","E02006097",6370,26000,261810.26,33713,5.292,0.613,3905,41.101,0.551,0.537716262975779,0.562664329535495,3,2123
"3301","E02006099",6829,39000,70168.17,9434,1.381,0.185,1264,10.275,0.486,0.485759493670886,0.485759493670886,1,6829
"3302","E02006102",7141,27560,69419.67,7938,1.112,0.172,1230,9.721,0.529,0.529268292682927,0.529268292682927,1,7141
"3303","E02006103",7234,34840,56885.38,7754,1.072,0.135,979,7.864,0.543,0.54341164453524,0.54341164453524,1,7234
"3304","E02006107",8164,28600,86954.1800000001,9475,1.161,0.158,1287,10.651,0.547,0.547008547008547,0.547008547008547,1,8164
"3305","E02006108",8561,30160,41912.17,6197,0.724,0.126,1078,4.896,0.554,0.553803339517625,0.553803339517625,1,8561
"3306","E02006110",7892,28080,230478.94,29688,3.762,0.407,3211,29.204,0.469,0.438255386232265,0.5,2,3946
"3307","E02006113",7327,26520,200497.69,25600,3.494,0.414,3036,27.364,0.506,0.500665778961385,0.511082138200782,2,3663
"3308","E02006116",7856,33280,14701.99,2507,0.319,0.068,535,1.871,0.55,0.549532710280374,0.549532710280374,1,7856
"3309","E02006117",5546,28600,81640.47,11922,2.15,0.335,1860,14.721,0.535,0.519719544259422,0.549374130737135,2,2773
"3310","E02006119",8269,28600,283917.06,31287,3.784,0.406,3356,34.335,0.538,0.504513540621866,0.571953010279001,2,4134
"3311","E02006120",8887,30680,58506.15,6699,0.754,0.125,1114,6.583,0.589,0.58886894075404,0.58886894075404,1,8887
"3312","E02006122",6495,29120,95903.0700000001,11403,1.756,0.32,2081,14.766,0.513,0.492370295015259,0.534608378870674,2,3247
"3313","E02006123",6744,33280,53891.52,8952,1.327,0.16,1082,7.991,0.518,0.517560073937153,0.517560073937153,1,6744
"3314","E02006124",7286,26520,56137.21,5452,0.748,0.142,1035,7.705,0.59,0.590338164251208,0.590338164251208,1,7286
"3315","E02006125",7331,28080,62691.4500000001,8862,1.209,0.159,1162,8.552,0.562,0.561962134251291,0.561962134251291,1,7331
"3316","E02006126",8319,31720,135256.76,12516,1.505,0.219,1821,16.259,0.479,0.479406919275124,0.479406919275124,1,8319
"3317","E02006128",8399,31720,73669.64,10205,1.215,0.208,1747,8.771,0.578,0.568513119533528,0.587743732590529,2,4199
"3318","E02006129",7673,26520,186288.05,22533,2.937,0.266,2042,24.278,0.443,0.442703232125367,0.442703232125367,1,7673
"3319","E02006130",7479,30160,143517.51,17569,2.349,0.429,3209,19.189,0.481,0.465815861440292,0.497200447928331,3,2493
"3320","E02006131",7837,34320,32279.24,4401,0.562,0.097,759,4.119,0.556,0.555994729907773,0.555994729907773,1,7837
"3321","E02006133",6891,33280,77081.7400000001,9781,1.419,0.186,1284,11.186,0.535,0.535046728971963,0.535046728971963,1,6891
"3322","E02006134",9164,35360,99907.16,9432,1.029,0.14,1286,10.902,0.556,0.555987558320373,0.555987558320373,1,9164
"3323","E02006136",8648,38480,128209.39,16587,1.918,0.261,2254,14.825,0.496,0.458823529411765,0.532414910858995,2,4324
"3324","E02006137",8751,28080,102866.06,14052,1.606,0.174,1527,11.755,0.562,0.56188605108055,0.56188605108055,1,8751
"3325","E02006139",7061,24960,129053.75,13842,1.96,0.23,1623,18.277,0.517,0.51694393099199,0.51694393099199,1,7061
"3326","E02006140",8466,30680,45833.36,5602,0.662,0.123,1043,5.414,0.593,0.593480345158197,0.593480345158197,1,8466
"3327","E02006141",10330,26000,141512.18,18763,1.816,0.272,2810,13.699,0.58,0.557177615571776,0.611957796014068,3,3443
"3328","E02006143",7231,39520,127275.63,16623,2.299,0.221,1601,17.601,0.59,0.589631480324797,0.589631480324797,1,7231
"3329","E02006144",7977,26520,153927.34,18788,2.355,0.219,1747,19.296,0.512,0.512306811677161,0.512306811677161,1,7977
"3330","E02006145",5593,39000,93384.6400000002,12535,2.241,0.251,1406,16.697,0.563,0.563300142247511,0.563300142247511,1,5593
"3331","E02006147",7626,40040,65940.0800000001,8646,1.134,0.169,1291,8.647,0.53,0.529821843532146,0.529821843532146,1,7626
"3332","E02006151",8792,31200,77289.76,8725,0.992,0.201,1771,8.791,0.581,0.543790849673203,0.618290258449304,2,4396
"3333","E02006153",7050,40560,538.62,14,0.002,0.002,11,0.076,0,0,0,1,7050
"3334","E02006154",9886,34320,95004.6000000002,11563,1.17,0.152,1507,9.61,0.537,0.537491705374917,0.537491705374917,1,9886
"3335","E02006159",5754,28080,256051.63,27077,4.706,0.534,3072,44.5,0.569,0.551129607609988,0.58705035971223,2,2877
"3336","E02006160",8356,28600,105975.64,13979,1.673,0.269,2244,12.683,0.536,0.507692307692308,0.564530289727831,2,4178
"3337","E02006164",7421,25480,151339.68,19857,2.676,0.342,2541,20.393,0.555,0.51294964028777,0.596872284969592,2,3710
"3338","E02006165",7384,27560,78525.6800000001,9860,1.335,0.174,1288,10.635,0.596,0.596273291925466,0.596273291925466,1,7384
"3339","E02006166",7193,33280,157340.56,18827,2.617,0.251,1805,21.874,0.47,0.470360110803324,0.470360110803324,1,7193
"3340","E02006167",8722,24960,310548.99,37630,4.314,0.474,4138,35.605,0.55,0.515657620041754,0.595971563981043,3,2907
"3341","E02006168",8446,27560,175.76,15,0.002,0.001,6,0.021,0.333,0.333333333333333,0.333333333333333,1,8446
"3342","E02006170",5145,34320,102944.28,13432,2.611,0.291,1499,20.009,0.469,0.468979319546364,0.468979319546364,1,5145
"3343","E02006171",8914,30680,123557.38,16370,1.836,0.178,1590,13.861,0.552,0.552201257861635,0.552201257861635,1,8914
"3344","E02006173",6948,41080,55873.1600000001,8976,1.292,0.145,1005,8.042,0.538,0.538308457711443,0.538308457711443,1,6948
"3345","E02006174",10349,35880,132698.36,15705,1.518,0.174,1800,12.822,0.465,0.465,0.465,1,10349
"3346","E02006177",9837,33280,162245.17,17496,1.779,0.281,2762,16.493,0.463,0.447494852436513,0.478927203065134,2,4918
"3347","E02006178",7866,30680,24143.24,3175,0.404,0.096,754,3.069,0.553,0.553050397877984,0.553050397877984,1,7866
"3348","E02006180",6700,30680,32321.81,4575,0.683,0.121,814,4.824,0.585,0.584766584766585,0.584766584766585,1,6700
"3349","E02006184",5430,34320,49307.02,4462,0.822,0.177,961,9.08,0.609,0.608740894901145,0.608740894901145,1,5430
